,teamID,yearID,HR
1320,LAN,1958,172
1325,SFN,1958,170
1336,LAN,1959,148
1341,SFN,1959,167
1352,LAN,1960,126
1357,SFN,1960,130
1369,LAN,1961,157
1375,SFN,1961,183
1388,LAN,1962,140
1395,SFN,1962,204
1408,LAN,1963,110
1415,SFN,1963,197
1428,LAN,1964,79
1435,SFN,1964,165
1448,LAN,1965,78
1455,SFN,1965,159
1469,LAN,1966,108
1475,SFN,1966,181
1489,LAN,1967,82
1495,SFN,1967,140
1508,LAN,1968,67
1515,SFN,1968,108
1529,LAN,1969,97
1539,SFN,1969,136
1553,LAN,1970,87
1563,SFN,1970,165
1577,LAN,1971,95
1587,SFN,1971,140
1601,LAN,1972,98
1611,SFN,1972,150
1625,LAN,1973,110
1635,SFN,1973,161
1649,LAN,1974,139
1659,SFN,1974,93
1673,LAN,1975,118
1683,SFN,1975,84
1697,LAN,1976,91
1707,SFN,1976,85
1721,LAN,1977,191
1732,SFN,1977,134
1747,LAN,1978,149
1758,SFN,1978,117
1773,LAN,1979,183
1784,SFN,1979,125
1799,LAN,1980,148
1810,SFN,1980,80
1825,LAN,1981,82
1836,SFN,1981,63
1851,LAN,1982,138
1862,SFN,1982,133
1877,LAN,1983,146
1888,SFN,1983,142
1903,LAN,1984,102
1914,SFN,1984,112
1929,LAN,1985,129
1940,SFN,1985,115
1955,LAN,1986,130
1966,SFN,1986,114
1981,LAN,1987,125
1992,SFN,1987,205
2007,LAN,1988,99
2018,SFN,1988,113
2033,LAN,1989,89
2044,SFN,1989,141
2059,LAN,1990,129
2070,SFN,1990,152
2085,LAN,1991,108
2096,SFN,1991,141
2111,LAN,1992,72
2122,SFN,1992,105
2139,LAN,1993,130
2150,SFN,1993,168
2167,LAN,1994,115
2178,SFN,1994,123
2195,LAN,1995,140
2206,SFN,1995,152
2223,LAN,1996,150
2234,SFN,1996,153
2251,LAN,1997,174
2262,SFN,1997,172
2280,LAN,1998,159
2291,SFN,1998,161
2310,LAN,1999,187
2321,SFN,1999,188
2340,LAN,2000,211
2351,SFN,2000,226
2370,LAN,2001,206
2381,SFN,2001,235
2400,LAN,2002,155
2411,SFN,2002,198
2430,LAN,2003,124
2441,SFN,2003,180
2460,LAN,2004,203
2471,SFN,2004,183
2490,LAN,2005,149
2500,SFN,2005,128
2520,LAN,2006,153
2530,SFN,2006,163
2550,LAN,2007,129
2560,SFN,2007,131
2580,LAN,2008,137
2590,SFN,2008,94
2610,LAN,2009,145
2620,SFN,2009,122
2640,LAN,2010,120
2650,SFN,2010,162
2670,LAN,2011,117
2680,SFN,2011,121
2699,LAN,2012,116
2710,SFN,2012,103
